title,phone,emails,website,category,address,review_rating,review_count,instagram,facebook,linkedin
The Blue Door Cafe,099100 05124,,,European restaurant,"#66, Khan Market 1st Floor, Entrance Middle Lane, New Delhi, Delhi 110003",4.200000,1343,,,
MITTI Café,083681 29194,hello@mitticafe.org,https://www.mitticafe.org/,Cafe,"Presidents Estate Quarters, President's Estate, New Delhi, Delhi 110004",4.600000,300,https://www.instagram.com/cafemitti,https://www.facebook.com/MittiCafeOfficial,https://www.linkedin.com/in/alinamitticafe
Third Wave Coffee,081477 38370,,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-khan-market-new-delhi/,Cafe,"Flat No 46, First Floor, Third Wave Coffee, Khan Market, Chanakyapuri, New Delhi, Delhi 110003",4.700000,965,,,
Perch Wine & Coffee Bar,083739 76637,,https://www.facebook.com/perchindelhi/,Wine bar,"71, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",4.400000,2006,,https://www.facebook.com/perchindelhi,
Hard Rock Cafe New Delhi,092171 98018,,https://cafe.hardrock.com/new-delhi/#utm_source=rest_of_network&utm_medium=Yext&utm_campaign=Listings,American restaurant,"Showroom No 1 GF FF, Hard Rock Cafe New Delhi, SF with Respective, Atma Ram Mansion, Connaught Circus, Mezzanines, New Delhi, Delhi 110001",4.200000,3970,,,
SOL Garden Cafe,,,,North Indian restaurant,"10, Sansad Marg, Janpath, Connaught Place, New Delhi, Delhi 110001",4.100000,807,,,
Open House Cafe,099996 11334,,https://openhousecafe.in/,Cafe,"C Block, C 37, Block C, Connaught Place, New Delhi, Delhi 110001",4.100000,8198,,,
THE BIG CHILL,011 4175 7075,,http://www.thebigchillonline.com/,Cafe,"B-40, Inner Cir, Block B, Connaught Place, New Delhi, Delhi 110001",4.500000,9614,,,
Chelvies Coffee | CP M Block,093156 31512,info@chelviescoffee.com,https://www.chelviescoffee.com/,Cafe,"M-6, Block M, Connaught Place, New Delhi, Delhi 110001",4.600000,2078,https://www.instagram.com/chelviescoffee,https://www.facebook.com/chelviescoffee,
Third Wave Coffee,080957 99943,,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-e-block-connaught-place-new-delhi/,Cafe,"Shop No 11, E Block Mezzanine Floor, Connaught Place, New Delhi, Delhi 110001",4.600000,2578,,,
"Nothing Before Coffee - Connaught Place, New Delhi",092519 38080,info@nothingbeforecoffee.com,https://stores.nothingbeforecoffee.com/nothing-before-coffee-in-delhi-new-delhi-delhi-connaught-place-40249,Coffee shop,"B, Nothing Before Coffee - Connaught Place, New Delhi, block B-3, Middle Cir, Block B, Connaught Place, New Delhi, Delhi 110001",4.700000,2160,https://www.instagram.com/nothingbeforecoffeeindia,,
Bloom Cafe and Cakery,096500 18246,,,Cafe,"Shop No: 70B, Ground Floor, Subramania Bharti Marg, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",4.200000,293,,,
"Cafe Sandoz - N Block, CP",091674 17092,,http://www.sandozrestaurants.com/,Cafe,"ground floor, Cafe Sandoz - N Block, CP, N-7, Block N, Connaught Place, New Delhi, Delhi 110001",4.600000,7034,https://www.instagram.com/sandozrestaurants,https://www.facebook.com/sandozcp,
Mister Chai,011 4119 1020,"slnd@shangri-la.com, misterchai.slnd@shangri-la.com",http://www.shangri-la.com/newdelhi/erosshangrila/dining/bars-lounges/mister-chai/,Cafe,"Lobby Level, Shangri-La Eros New Delhi, 19, Ashoka Rd, Janpath, Connaught Place, New Delhi, Delhi 110001",4.300000,721,https://www.instagram.com/shangrilahotels,https://www.facebook.com/shangrila,
Farzi Cafe,095998 89701,,https://farzicafe.com/,Modern Indian restaurant,"E-38/39, Inner Cir, Inner Circle, Block E, Connaught Place, New Delhi, Delhi 110001",4.000000,10329,,,
Cafe De Flora,088829 27513,,,Restaurant,"Shop No-24 25, Cafe De Flora, Santushti Shopping Complex, opp. Samrat Hotel, New Delhi, Delhi 110021",4.300000,2093,,,
Cafe Delhi Heights,096432 54033,,https://stores.cafedelhiheights.com/store-pages/cafe-delhi-heights-khan-market-new-delhi/,Cafe,"Shop 26, First & Second Floor, Cafe Delhi Heights, Middle Lane, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",4.100000,1500,,,
Warehouse Cafe,099995 37128,,https://www.warehousecafe.in/,Cafe,"gate number 3, Warehouse Cafe, CONNAUGHT PLACE, D Block D 19/20, Near, Inner Cir, New Delhi, Delhi 110001",4.100000,10218,,,
The Arthouse Eats,098118 52233,delhi@thearthousecafe.in,http://www.thearthousecafe.in/,Vegetarian restaurant,"N-35, Block N, Connaught Place, New Delhi, Delhi 110001",3.900000,2527,,,
Kala Cafe,,,,Cafe,"Indira Gandhi Nat'l Centre For The Arts, Maan Singh Rd, near Andhra Bhavan, Central Secretariat, Janpath, Kartavya Path, New Delhi, Delhi 110001",3.800000,1193,,,
Indian Coffee House,011 2334 2994,,http://www.indiancoffeehouse.com/,Coffee shop,"2nd Floor, Indian Coffee House, Mohan Singh Place, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001",3.700000,5641,,,
SIP THE KICK - Best coffee Shops in Delhi,087960 63620,,,Cafe,"4210 GF Hotel Namaste Hindustan Tel Mandi Chowk Paharganj, opposite New Delhi, Railway Station, New Delhi, Delhi 110055",4.800000,65,,,
Madras Coffee House,011 2336 3074,,,Restaurant,"P-5/90, Connaught Cir, Block P, Connaught Place, New Delhi, Delhi 110001",4.100000,4434,,,
Café Amudham Restaurant Janpath,,,https://cafeamudham.com/,Cafe,"44, Janpath Ln, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",4.100000,1289,,,
Amour Bistro,098108 77553,,http://www.amour-bistro.in/,Bistro,"Block C, J52P+852 Amour Bistro, No.10 Yes Bank, 48, Malcha Marg, Block D, Diplomatic Enclave, Malcha, New Delhi, Delhi 110021",4.300000,5693,,,
Fig at Malcha,084478 72226,,https://www.instagram.com/figatmalcha/,Cafe,"3/48, Malcha Marg, Market, Dharam Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",4.300000,1517,https://www.instagram.com/figatmalcha,,
"TAN COFFEE | Connaught Place, Delhi",092663 60069,,https://tancoffeeindia.com/,Coffee shop,"35/8, TAN COFFEE | Connaught Place, Delhi, H-Block, Connaught Place H-35/5, 35/6 35/7, New Delhi, Delhi 110001",4.700000,4887,,,
Café Coffee Day,1800 102 5093,,https://rajivchowkconnaughtplace.cafecoffeeday.com/,Cafe,"RCK 02, Café Coffee Day, Metro Station, Connaught Place, Delhi, New Delhi, Delhi 110001",4.100000,10869,,,
Cafe MRP,099904 20628,,,Bar,"C-39, First Floor Radial Road 5 Opp. Odeon Cinema, Block C, Connaught Place, New Delhi, Delhi 110001",4.000000,11074,,,
Costa Coffee,097114 59823,,https://www.costacoffee.in/,Coffee shop,"First Floor, Costa Coffee, Flats, 29, Middle Lane, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",4.800000,515,https://www.instagram.com/costacoffeeindia,https://www.facebook.com/Costa-Coffee-,
Cafe Vagabond,099588 50203,,https://www.cafevagabond.in/,Cafe,"Hotel Ajanta Complex, 8647, Arakashan Rd, Ram Nagar, Paharganj, New Delhi, Delhi 110055",4.800000,6686,,,
"Blue Tokai Coffee Roasters | Connaught Place, N Block",070429 79993,"getcoffee@bluetokaicoffee.com, janpathorigins@bluetokaicoffee.com, cphblock@bluetokaicoffee.com, meharchandmarket@bluetokaicoffee.com, dlfmidtown@bluetokaicoffee.com",https://stores.bluetokaicoffee.com/blue-tokai-coffee-roasters-connaught-place-n-block-cafe-connaught-place-new-delhi-436799/Home?utm_source=locator&utm_medium=googleplaces,Coffee shop,"Shop No 44, Building, Blue Tokai Coffee Roasters | Connaught Place, N Block, N Block, Connaught Cir, Block N, Connaught Place, New Delhi, Delhi 110001",4.300000,1120,https://www.instagram.com/bluetokaicoffee,,
Bloom Cafe @ Janpath,011 4038 4125,,https://staybloom.com/hotels/delhi/bloomrooms-janpath,Cafe,"1st Flr, Bloom Cafe @ Janpath, 1, Janpath Rd, near Ram Temple, Janpath, Connaught Place, New Delhi, Delhi 110001",4.500000,12,,,
Oh My God Cafe,095990 64236,,,Bar,"F-14/ 15, Block F, Connaught Place, New Delhi, Delhi 110001",4.000000,2731,,,
Roof Top Cafe Transport Bhawan,082877 22804,,,Restaurant,"Gokul Nagar, Sansad Marg Area, New Delhi, Delhi 110001",4.300000,35,,,
Andhra Cafe,070110 51919,,,South Indian restaurant,"South Ave, near CGHS Dispensary, Willingdon Crescent, President's Estate, New Delhi, Delhi 110011",4.400000,232,,,
Coffee Shop,011 2334 0070,,,Coffee shop,"The Hotel Janpath, Janpath Rd, Janpath, Connaught Place, New Delhi, Delhi 110001",4.600000,55,,,
"CAARA at Ogaan, Malcha Marg",074287 65427,cafe-ind@caara.com,http://www.caara.com/,Cafe,"3&4, Malcha Marg, Block C, Market, Chanakyapuri, New Delhi, Delhi 110021",4.300000,307,https://www.instagram.com/caarafood,,
"Chaayos Cafe - Connaught Place, M Block",1800 120 2424,"bazaar@chaayos.com, Letstalk@chaayos.com",https://chaayos.com/,Cafe,"Plot no 3, 1st Floor, Chaayos Cafe - Connaught Place, M Block, M - 66, Block M, Connaught Place, New Delhi, Delhi 110001",4.100000,8484,https://www.instagram.com/chaayos,https://www.facebook.com/Chaayos,
cafe hawkers,082877 23847,,,Chinese restaurant,"L22, Block L, Connaught Place, New Delhi, Delhi 110001",4.200000,1269,,,
The Immigrant Café,099993 11224,,,Bar & grill,"B-45, First Floor, Inner Circle, Connaught Place, New Delhi, India, New Delhi, Delhi 110001",3.900000,2385,,,
The Beer Café,011 4100 9545,,https://stores.thebeercafe.com/store-pages/the-beer-cafe-janpath-new-delhi/,Pub,"Scindia House, No. 1/2, Janpath Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",4.400000,2680,,,
Café Coffee Day,1800 102 5093,,https://www.cafecoffeeday.com/,Cafe,"SHOP NO.49, Café Coffee Day, Bengali Market, CHANAKYA PURI, Mandi House, New Delhi, Delhi 110001",4.200000,690,,,
Out of the Box,098999 12778,,https://cafeotb.com/,North Indian restaurant,"5, Khan Market, Rabindra Nagar, Delhi, New Delhi, Delhi 110003",4.100000,2215,https://www.instagram.com/otbkhanmarket,https://www.facebook.com/share,
"The Tin Whistle, The British Council",098102 04427,Cafe@caara.com,https://caara.com/index.php/caara-cafe/,Cafe,"British Council, 17, KG Marg, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",3.900000,223,,,
chai 24/7,,,,Cafe,"H 7, chai 24/7, H-Block, Middle Cir, opposite H&M, Block H, Connaught Place, New Delhi, Delhi 110001",4.500000,830,,,
Diggin,095607 56310,,,Italian restaurant,"Bikaner House, Pandara Flats, India Gate, New Delhi, Delhi 110003",4.400000,2756,,,
AMA Cafe | Majnu Ka Tilla,084489 94259,info@amacafe.co,http://www.amacafe.co/,Cafe,"House no. 6, 1st Floor, AMA Cafe | Majnu Ka Tilla, New Aruna Colony, Majnu-ka-tilla, New Aruna Nagar, New Delhi, Delhi, 110054",4.500000,30352,https://www.instagram.com/amacafedelhi,https://www.facebook.com/AmaCafeMT,
Nibbles Cafe,092205 88709,,https://nibblescafe.in/,Cafe,"Tower 22, G 10, Barakhamba Rd, Fire Brigade Lane, Barakhamba, Delhi, New Delhi, Delhi 110001",4.600000,69,https://www.instagram.com/nibblescafedelhi,,
Depaul`s,011 2332 8214,,https://www.facebook.com/coffee.depauls,Coffee shop,"22, Janpath Bhawan, Janpath Rd, New Delhi, Delhi 110001",3.700000,3871,,https://www.facebook.com/coffee.depauls,
Coffee-Home,,,,Coffee shop,"262 BK, Baba Kharak Singh Rd, Connaught Place, New Delhi, Delhi 110001",4.000000,5723,,,
Third Wave Coffee,063641 43135,,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-c-block-connaught-place-new-delhi/,Cafe,"Mezzanine Floor, Third Wave Coffee, Shop No, C-11, Inner Cir, Block C, Connaught Place, New Delhi, Delhi 110001",4.600000,137,,,
Krishna Rooftop Cafe,093102 73053,,,Cafe,"Top Floor, Krishna Rooftop Cafe, Tooti Chowk, 659, Main Bazar Rd, Bazar Sangatrashan, Main Bazar, Kaseru Walan, Paharganj, New Delhi, Delhi 110055",4.200000,520,,,
Dilli Coffee Adda,,,,Coffee shop,"60/17, Dilli Coffee Adda, Bada Bazar Rd, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi, 110060",4.700000,47,,,
Super Chai - Cafe /Tea Lounge,081305 36111,info@superchai.in,http://www.superchai.in/,Cafe,"Ground Floor, N Block, Shop 1, Middle Circle, BMC House, Connaught Place, New Delhi, Delhi 110001",4.400000,264,https://www.instagram.com/superchaiofficial,https://www.facebook.com/superchaiofficial,https://www.linkedin.com/company/superchai
steve and dodo,088268 74005,orders@steveanddodo.com,http://steveanddodo.com/,Cafe,"4/8, Saraswati Marg, Block 4, WEA, Karol Bagh, New Delhi, Delhi, 110005",4.900000,266,https://www.instagram.com/steveanddodo,,
Colocal Chocolates ! Khan Market,095605 00676,,http://www.colocal.in/,Cafe,"Flats, 65, Middle Lane, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",4.200000,391,https://www.instagram.com/colocalchocolates,https://www.facebook.com/colocalchocolates,
Blue Tokai Coffee Roasters | Members Only,093117 55354,"getcoffee@bluetokaicoffee.com, meharchandmarket@bluetokaicoffee.com, janpathorigins@bluetokaicoffee.com, cphblock@bluetokaicoffee.com",https://stores.bluetokaicoffee.com/blue-tokai-coffee-roasters-members-only-cafe-tughlak-road-area-new-delhi-436784/Home?utm_source=locator&utm_medium=googleplaces,Coffee shop,"2, Safdarjung Rd, near Delhi Gymkhana Club, Tughlak Road Area, New Delhi, Delhi 110011",4.300000,119,https://www.instagram.com/bluetokaicoffee,,
The Chatter House,089290 00262,,,Irish pub,"58 1st & 2nd Floor, Khan Market, New Delhi, Delhi 110003",4.200000,2254,,,
Pour Over - Coffee Roaster,092661 61157,,http://www.pourover.in/,Cafe,"Shop No. 11, First Floor, Pour Over - Coffee Roaster, 11-B, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",4.300000,115,,,
Emperor Lounge,011 6651 3112,,https://www.tajhotels.com/en-in/hotels/taj-mahal-new-delhi/restaurants/emperor-lounge-new-delhi?utm_source=google&utm_medium=local&utm_campaign=taj-mahal-new-delhi-emperor-lounge-new-delhi,Restaurant,"Taj Mahal Hotel, near Khan Market, South Block, Man Singh Road Area, New Delhi, Delhi 110011",4.600000,187,,,
Cafe Festa,098118 13016,,,Restaurant,"1832, Laxmi Narain Street, opp. Cottage Yes Please, Chuna Mandi, Paharganj, New Delhi, Delhi 110055",4.600000,657,,,
Chaayos Cafe at Connaught Place,1800 120 2424,"bazaar@chaayos.com, Letstalk@chaayos.com",https://chaayos.com/,Cafe,"F-14/15, Inner Cir, Block F, Connaught Place, New Delhi, Delhi 110001",4.100000,553,https://www.instagram.com/chaayos,https://www.facebook.com/Chaayos,
Josie's Coffee House,096677 79071,,,Restaurant,"Shop No. 3, Ground Floor, Josie's Coffee House, Central, beside La Pino's Pizza, Old Rajender Nagar market, Block 55, Rajinder Nagar, New Delhi, Delhi, 110060",4.200000,755,,,
"Delhi Cafe, Urban By Nature (Under Pass)",,,,Cafe,"Maharao Krishna Marg, Bahadur Shah Zafar Marg, Balmiki Basti, Vikram Nagar, New Delhi, Delhi, 110002",4.300000,35,,,
Latitude 28,078279 34134,,,Italian restaurant,"Shop No. 9, Second Floor, above The Goodearth Store, Khan Market, New Delhi, Delhi 110003",4.300000,295,,,
IKIGAI Cafe Delhi Heights,078618 54033,,https://stores.cafedelhiheights.com/store-pages/cafe-delhi-heights-ikigai-new-delhi/,Cafe,"D-4, IKIGAI, Defence Colony, New Delhi, Delhi 110024",4.400000,340,,,
Khan Market,,,,Market,"Ground Floor, Khan Market, 55a, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",4.400000,67570,,,
Starbucks,1860 266 0010,,https://stores.starbucks.in/store-pages/starbucks-new-delhi-11/,Coffee shop,"Shop No 16, Starbucks, Connaught Cir, Block N, Connaught Place, New Delhi, Delhi 110001",4.300000,7785,,,
Sam's Cafe,098110 29125,,,Cafe,"Main Bazar Rd, Bazar Sangatrashan, Chuna Mandi, Paharganj, New Delhi, Delhi 110055",3.900000,1172,,,
Punjab Grill Janpath,093100 20740,,https://stores.lbf.co.in/store-pages/punjab-grill-janpath-new-delhi/,Punjabi restaurant,"78, Janpath Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",4.500000,5309,,,
Saravana Bhavan,011 2331 7755,hsb@saravanabhavan.com,https://saravanabhavan.com/,South Indian restaurant,"50, Janpath Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",4.400000,28593,https://www.instagram.com/saravanaabhavan,https://www.facebook.com/saravanaabhavan,
Tamra Restaurant,095997 87836,"slnd@shangri-la.com, tamra.slnd@shangri-la.com",http://www.shangri-la.com/newdelhi/erosshangrila/dining/restaurants/tamra/,Buffet restaurant,"Level 1 Shangri-La Eros New Delhi, 19, Ashoka Rd, Janpath, Connaught Place, New Delhi, Delhi 110001",4.400000,5005,https://www.instagram.com/shangrilahotels,https://www.facebook.com/shangrila,
"Gulati Restaurant, Pandara Road",011 4763 3344,,http://www.gulatirestaurant.co/,North Indian restaurant,"6, Pandara Road, Market, near India Gate, New Delhi, Delhi 110003",4.300000,8250,,,
Pindi Restaurant Delhi,098187 39131,,,North Indian restaurant,"16, Pandara Rd, Pandara Flats, Market, New Delhi, Delhi 110003",4.200000,3455,,,
"Pind Balluchi Regal Building, Connaught Place, Delhi",080102 02020,,http://www.pindballuchi.com/,North Indian restaurant,"13, Pind Balluchi Regal Building, Connaught Place, Delhi, Regal Building, near Regal Cinema, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001",4.300000,15136,,,
