title,phone,emails,website,category,address,review_rating,review_count,instagram,facebook,linkedin
ICA Edu Skills | Accounting & Taxation Training Institute | Dwarka Mor,093505 12244,,https://www.icajobguarantee.com/centers/dwarka-mor-metro-station-delhi?utm_campaign=Google-Listing&utm_source=Local_SEO,Educational institution,"Plot No.9 2nd Floor Opposite Metro Pillar No.784 Near Dwarka Mor Metro Station, Dwarka, Mor, Delhi 110059",4.8,89,https://www.instagram.com/icaeduskills_official,https://www.facebook.com/ICAEduSkillsDwarkaMor,https://www.linkedin.com/company/ica-infotech-pvt.-ltd.
RCOM EDUCATION -Best computer course in Dwarka Delhi,093157 25076,"rcomeducation3@gmail.com, rcomdistanceeducation@gmail.com",https://rcomeducation.com/,College,"Metro Pillar No.-787, RCOM EDUCATION -Best computer course in Dwarka Delhi, Dwarka Mor, Sai Ashiana Plot No.-230/A,Kakrola, Patel Garden, गली नंबर 8, Block D, Extension, Delhi, 110078",5,120,,,
Institute for career education,097117 59552,,,Educational institution,"Dwarka Mor, Uttam Nagar, Bhagwati Garden, Nawada, Delhi, 110059",5,36,,,
Ambition Institute in Dwarka,093542 46065,,,Education center,"Metro Station Dwarka Mor, A-55, 2nd Floor Sewak Park Dwarka, Uttam Nagar, Mor, New Delhi, Delhi 110059",4.9,84,,,
INFOTECH SOFTNET: Computer Institute Accredited by NIELIT,076830 19695,,https://infotechsoftnet.com/,Educational institution,"First Floor, INFOTECH SOFTNET: Computer Institute Accredited by NIELIT, Amar Complex, Metro (Piller. 782, Plot-10, near Grover Sweets, Dwarka Mor, Uttam Nagar, Bhagwati Garden, Uttam Nagar, New Delhi, Delhi, 110059",4.8,344,,,
Manisha education point,085275 69868,,,Education center,"55 Feet Rd, Dwarka Mor, Sainik Nagar, Vipin Garden, Nawada, New Delhi, Delhi, 110059",5,14,,,
DEEPANSHU INSTITUTE,099581 61530,,,College,"Plot No 36 ,37 Sukar Bazar, NCR, Dwarka Mor, Bhagwati Garden, Delhi, 110059",4.8,84,,,
"Khunga Academy - Best Coaching for Army, SSC, Delhi Police, NDA & Other Govt. Exams",092122 65380,"khungaacdemy@gmail.com, sample@mail.com, khungaacademy@gmail.com",https://khungaacademy.in/,Coaching Center,"Pillar No 776, Under Dwarka Mor Metro Staion, Najafgarh Rd, New Delhi, Delhi 110059",4.3,220,,,
Vidhya Bharti College & Open School,,,,Open university,"Shop No.3, Vidhya Bharti College & Open School, Deewan Estate, Dwarka Mor, Bhagwati Garden, Dwarka, Delhi, 110059",4.6,30,,,
national industrial training centre,011 4282 8067,,https://nitcindia.com/,College,"30-34 sewak park dwarka mor, New Delhi, Delhi 110059",4.4,248,,,
Vidhyapeeth College Of Education,088827 29975,abhir@vidhyapeethdwarka.com,http://vidhyapeethdwarka.com/,Educational institution,"FIRST FLOOR, Vidhyapeeth College Of Education, Laxmi Vihar, 118-A, Road No. 7, near Rathore Chowk, Dwarka Mor, Bhagwati Garden, Nawada, New Delhi, Delhi 110059",5,27,https://www.instagram.com/vidhyapeethdwarka,,
SIDDHI ACADEMY DWARKA MOR,088518 66455,,,Educational institution,"ATHRAV ONLINE, A-1, Uttam Nagar, Bhagwati Garden, Nawada, Delhi, 110059",4.9,173,,,
Netra Institute of Geoinformatics | NIGMT Foundation | Best GIS & Remote Sensing Institute in Delhi,085859 91286,,https://www.nigmt.org/,Institute of technology,"Metro Pillar no. 769, Netra Institute of Geoinformatics | NIGMT Foundation | Best GIS & Remote Sensing Institute in Delhi, Metro Station Dwarka Mor, 11B, First Floor, Dwarka Mor, above State Bank of India, New Delhi, Delhi 110059",4.7,2377,,,
ESS COMPUTER INSTITUTE,093191 31353,,https://essinstitute.in/,Computer training school,"Plot No: 1, Kakrola Housing Complex, Near Allahabad Bank, Kakrola Rd, Raju Enclave, Sector 15 Dwarka, Dwarka, Delhi, 110078",4.6,806,https://www.instagram.com/ess.institute,https://www.facebook.com/essinstitute,https://www.linkedin.com/company/ess-institute
"Cimetrix Institute - Multimedia and Animation Institute in Dwarka, Uttam Nagar, Delhi",070828 24000,info@ciit.org.in,https://ciit.org.in/,Software Training Institute,"Plot No. 9, 1st and 2nd Floor, Amar Complex, Bhagwati Garden Ext Dwarka Mor Metro Station Gate. 01 Exit, Opp Metro Pillar. 782, Uttam Nagar, Delhi, 110059",4.7,427,https://www.instagram.com/cimetrix.institute,https://www.facebook.com/Cimetrix.Institute,
OSKP - B.Ed Institute in Dwarka mor | B.Ed Institute in Delhi | B.Ed College,099994 15332,info@oskpeducation.com,https://oskpeducation.com/,Teachers college,"Plot no-114-B,Sewak park,2nd floor,off.no-3,Opp.Metro Pillar No-783, Near Dwarka Mor metro station, New Delhi, Delhi 110059",4.6,134,https://www.instagram.com/oskpeducation,https://www.facebook.com/OSKPEducation,
ESS Computer Institute Dwarka Mor,093191 31353,,https://essinstitute.in/,Computer training school,"housing complex, ESS Computer Institute Dwarka Mor, C-31, opp. Metro Pillar Number 792, New Delhi, Delhi 110059",4.9,94,https://www.instagram.com/ess.institute,https://www.facebook.com/essinstitute,https://www.linkedin.com/company/ess-institute
Max International Training Institute & Higher Education,070658 13244,,,Educational institution,"gate no 02, Max International Training Institute & Higher Education, A128 Sewak park Opposite pillor no 783 dwarkamoad Dwarkamoad metrostation, Delhi, 110059",4.9,112,,,
Skills Academy,070117 00466,,,Training center,"Metro Pillar Number 778, Skills Academy, A-8 1ST FLOOR Sewak Park near metro station Dwarka Mor, New Delhi, Delhi 110059",4.8,157,,,
A.S. Buddha Academy,088002 54186,,,College,"Pillor No 784, Dwarka Mor, New Delhi, Delhi 110059",4.6,28,,,
"DMIO- #1 Digital Marketing Institute in Dwarka Mor, Delhi | PPC Course | SEO Classes | Social Media Ads",096505 67689,,https://digitalmarketinginstitute.online/,Institute of technology,"G/F, A-13 Extenstion, DK Rd, A Extension, Block B, Mehta Chawk, Uttam Nagar, New Delhi, Delhi, 110059",4.9,10,,,
"Safal Academy - Best Coaching for NDA, CDS, ACC, ARMY, SSC & Delhi Police",099112 29049,info@safalacademy.com,https://www.safalacademy.com/,Coaching Center,"2nd Floor, C, Safal Academy - Best Coaching for NDA, CDS, ACC, ARMY, SSC & Delhi Police, 1/4 - 5, Najafgarh Rd, near Metro Pillar #773, Dwarka Mor, Block C, Bhagwati Garden, Nawada, New Delhi, Delhi, 110059",4.8,265,https://www.instagram.com/SafalAcademy.in,https://www.facebook.com/SafalAcademy.in,https://www.linkedin.com/company/safalacademy
ReWise EduNest Classes - Best CBSE Tuition & Coaching Centre Dwarka,087008 76568,,https://youtube.com/@rewiseedunest,Education center,"C Block, Sewak Park, Shiv Vihar, 780, New, behind Usha Mata Mandir, opposite Metro Pillar, Dwarka Mor, Uttam Nagar, Delhi, 110059",5,6,,,
Suyogyaa Institute,092177 48953,,https://www.suyogyainstitute.com/,Coaching Center,"Plotno.113, kakrola housing near mahila park Old palam road,Dwarka, Kakrola, New Delhi, Delhi 110078",4.8,51,,,
TekHub Dwarka More | Best Computer Classes | Best Computer Training Centre | Best Computer Coaching Centre Dwarka More,084482 55662,teqhub17@gmail.com,http://www.tekhub.info/,Computer training school,"house no -69 2nd floor sewak park metro pillar no 776 dwarka more, New Delhi, Delhi 110059",4.6,87,,,
chitra institute of management studies (CIMS),095607 95538,,,Educational consultant,"1 FLOR, chitra institute of management studies (CIMS), A 9, Dwarka Mor, Patel Garden, Sector 15 Dwarka, Dwarka, Delhi, 110078",5,25,,,
Lipi The Library ( Library In Dwarka and Dwarka Mor),084473 65159,,,Library,"J29P+Q3H Lipi The Library ( Library In Dwarka and Dwarka Mor), Najafgarh Rd, Shanti Park, Dwarka, Delhi, 110059",4.9,697,,,
"Sardar Patel Academy & Research Centre, Dwarka mor branch",095823 25872,"sparc.enquiry01@gmail.com, sparc.enquiry@gmail.com",https://www.sparc.org.in/,Educational institution,"Pillar No. 772, Sardar Patel Academy & Research Centre, Dwarka mor branch, 1st Floor, C-1/2A, Main Najafgarh Road, Dwarka Mor, Rama Park, Uttam Nagar, New Delhi, Delhi, 110059",4.7,97,https://www.instagram.com/sparc.org.in,https://www.facebook.com/sparc.org.in.official,https://www.linkedin.com/company/sparc-org-in
Correct Steps Education,097178 77002,"correctstepseducation@gmail.com, john@example.com",https://edu.correctstepseducation.in/,Educational institution,"Gate No. 2, Correct Steps Education, metro station, B 5 and 6, Top Floor, Mod, near Metro Parking, Sewak Park, Dwarka, Delhi, 110059",4.9,264,https://www.instagram.com/stenoclass,,
Edexo - Dwarka Delhi,097113 84123,,https://edexo.in/,Language school,"RD Plaza, near Maruti Suzuki NEXA Showroom, opp. Netaji Subhas University of Technology, Mohit Nagar, Dwarka, Mor, New Delhi, Delhi 110078",5,41,https://www.instagram.com/edexo_,https://www.facebook.com/goedexo,
