title,phone,emails,website,category,address,review_rating,review_count
"DR MANVENDRA JANGHEL BONE, JOINT & ARTHRITIS CLINIC",096949 36439,,,Orthopedic surgeon,"Shop No-26, DR MANVENDRA JANGHEL BONE, JOINT & ARTHRITIS CLINIC, Housing board complex, New Bus Stand, Pendarvani, Durg, Chhattisgarh 491001",4.900000,310
Dr PRAFULLA JAIN VARDHMAN HOSPITAL and Vaccination Centre,098271 12151,,http://vardhmanhospital.co.in/,Hospital,"Rajendra Park, Chowk, Station Road, Sindhi Colony, Civil Lines, Durg, Chhattisgarh 491001",4.800000,797
Gangotri Hospital,088277 74321,,,Hospital,"Om Parishar Arya nagar , IN front of kali badi Temple, near by Tularam Arya Kanya U M Vidyalaya, Durg, Chhattisgarh 491001",4.300000,83
Jeena Sikho HiiMS Durg,087920 87920,,https://hiims.in/clinic/durg/,Ayurvedic clinic,"Kamla Medical Store, Singrapara , G E Road Connect Road, Distt, Supela, Bhilai, Chhattisgarh 490023",4.500000,41
"Dr. Arpan Jain MD DM (Consultant Gastroenterologist, Hepatologist and Therapeutic Endoscopist); Bhilai - Durg",098606 85098,,,Gastroenterologist,"Ambey medical stores, Nandini Rd, power house, Durgpara, Camp 2, Bhilai, Chhattisgarh 490026",4.900000,310
Dixit Clinic And Nursing Home,0788 408 3246,,,Hospital,"Gandhi chowk, sadar bazar, Durg, Chhattisgarh 491001",3.800000,10
Dr. O.P. Tiwari Clinic,0788 232 5533,,,Medical clinic,"57RP+HMF Dr. O.P. Tiwari Clinic, Sindhi Colony, Malviya Nagar, Durg, Chhattisgarh 491001",4.800000,17
Akruti Clinic - Laser Cosmetic Surgeon & Hair Transplant,077228 66677,"deepak.kothari@akruticlinic.com, info@akruticlinic.com",https://www.akruticlinic.com/,Plastic surgeon,"Shanichari Bazar Rd, near Collectorate, near BJP Karyalaya, Shanichari Bazar, Durg, Chhattisgarh 491001",4.300000,88
Redcliffe Labs - Collection Centre | Full Body Check Up & Blood Test in Shastri Market,079 6912 2765,,https://redcliffelabs.com/centre/redcliffe-labs-collection-center-realcare-pathology-bhilai-diagnostic-centre-shastri-market-durg-310817,Diagnostic center,"Shop No 14, Redcliffe Labs - Collection Centre | Full Body Check Up & Blood Test in Shastri Market, Shastri market, near Mother & Child Care Clinic, power house, Janjgiri, Bhilai, Chhattisgarh 490001",4.900000,28
"Dr.Naveen keswani (Skin Brite Clinic) Skin,Laser&Hair Clinic.",095898 12473,,https://www.drnaveenkeswani.com/,Skin care clinic,"30pm, Dr.Naveen keswani (Skin Brite Clinic) Skin,Laser&Hair Clinic., 1)In front of Swaroop theatre,Opp Mohan nagar thana Station Road Durg Timmings 11am to 1.45pm & 7 to 8, Durg, Chhattisgarh 491001",4.900000,825
Aarogya hospital,088060 79400,,,Hospital,"Sindhia, Hari Nagar Main Rd, Durg, Chhattisgarh 490022",4.800000,23
Pincha ENT Clinic & Dental ImplantCentre,078038 85992,,,ENT Specialist,"Near, Gurudwara Rd, Guru Nanak Nagar, Durg, Chhattisgarh 491001",4.900000,169
APEX EYE HOSPITAL AND RETINA CENTER,0788 401 5008,apexeyehospital@gmail.com,https://apexeyehospital.com/,Ophthalmology clinic,"Ward No.- 24, Second Floor, Plot No. 3, APEX EYE HOSPITAL AND RETINA CENTER, 20, Station Road, Guru Nanak Nagar, Durg, Chhattisgarh 491001",4.600000,95
Advanced Neuro Mind Clinic LLP,,mansichealth@gmail.com,https://drprashantagrawal.in/,Neurologist,"1st Floor,Swabhagya Complex, Chhattisgarh 491001",4.900000,224
Dr DIKSHALI INDURKAR. SMILINE DENTAL CLINIC,099770 04099,,https://smiline-dental-clinic.grexa.site/,Dental clinic,"Shastri market power house Shop no A35, Bhilai, Chhattisgarh 490001",4.600000,17
"Aarogyam Hospital Durg–Bhilai | Best Urologist, Nephrologist, Cardiologist & Laparoscopic Surgery",062668 10728,,http://ashaarogyam.com/,Hospital,"677X+4MC Aarogyam Hospital Durg–Bhilai | Best Urologist, Nephrologist, Cardiologist & Laparoscopic Surgery, NH 53, opposite Toyota Showroom, Kadambari Nagar, Katulbod, Durg, Chhattisgarh 490020",4.200000,1105
Dr Yash Jain - GyanVidya Brain and Spine Clinic,088391 33001,,https://gyanvidyaneuro.in/,Neurologist,"Ambey Medical Stores, Bhamra Complex, near Bus Stand, in front of Mennonite Church, Pendarvani, Durg, Chhattisgarh 491001",4.900000,45
Sigma Pathology Lab,0788 403 9006,sigmapathologylabindia@gmail.com,https://sigmapathologylabs.com/,Pathologist,"Shastri market, 65C, Shashtri Market power house, 8-9, near Shastri Market, power house, Bhilai, Chhattisgarh 490011",4.600000,88
"DR SONIA MISHRA,MD(HOM)",089620 11107,,,Homeopath,"MISHRA MULTISPECIALITY HOMOEOPATHIC CLINIC, 3, Great Eastern Rd, Bajrang para, Bhilai, Chhattisgarh 490021",5.000000,48
Dr. NIDHI DESHMUKH’s SKIN HAIR & AESTHETIC CLINIC,070000 81923,,,Doctor,"near menonite church, Pendarvani, Durg, Chhattisgarh 491001",5.000000,1
